route_id=713002;vehicle_id=37167;time_start=2017-07-19 06:41:21;lon_start=24.0218416;lat_start=49.8145866;time_end=2017-07-19 06:43:21;lon_end=24.0191816;lat_end=49.8092466
route_id=713002;vehicle_id=38023;time_start=2017-07-19 06:41:21;lon_start=24.05749;lat_start=49.8093883;time_end=2017-07-19 06:43:21;lon_end=24.0519716;lat_end=49.8111183
route_id=712988;vehicle_id=38789;time_start=2017-07-19 06:43:14;lon_start=24.0439548492432;lat_start=49.8079605102539;time_end=2017-07-19 06:44:14;lon_end=24.0516185760498;lat_end=49.8078536987305
route_id=712988;vehicle_id=47976;time_start=2017-07-19 06:43:14;lon_start=23.9675273895264;lat_start=49.823802947998;time_end=2017-07-19 06:44:14;lon_end=23.9675273895264;lat_end=49.823802947998
route_id=712988;vehicle_id=53981;time_start=2017-07-19 06:43:14;lon_start=24.0197639465332;lat_start=49.8131828308105;time_end=2017-07-19 06:44:14;lon_end=24.0205688476563;lat_end=49.814640045166
route_id=712991;vehicle_id=64364;time_start=2017-07-19 06:43:18;lon_start=23.9905283;lat_start=49.8114583;time_end=2017-07-19 06:44:18;lon_end=23.9838549;lat_end=49.8124166
route_id=712991;vehicle_id=64505;time_start=2017-07-19 06:43:18;lon_start=23.9951933;lat_start=49.8395583;time_end=2017-07-19 06:44:18;lon_end=23.9948916;lat_end=49.8396883
route_id=712991;vehicle_id=64507;time_start=2017-07-19 06:43:18;lon_start=23.9829666;lat_start=49.8272333;time_end=2017-07-19 06:44:18;lon_end=23.976565;lat_end=49.8238616
route_id=713002;vehicle_id=37167;time_start=2017-07-19 06:43:21;lon_start=24.0191816;lat_start=49.8092466;time_end=2017-07-19 06:44:21;lon_end=24.0189716;lat_end=49.80617
route_id=713002;vehicle_id=38023;time_start=2017-07-19 06:43:21;lon_start=24.0519716;lat_start=49.8111183;time_end=2017-07-19 06:44:21;lon_end=24.0461266;lat_end=49.811865
route_id=1723724;vehicle_id=38752;time_start=2017-07-19 06:43:35;lon_start=24.0504533;lat_start=49.8650333;time_end=2017-07-19 06:44:35;lon_end=24.0550516;lat_end=49.86707
route_id=1723724;vehicle_id=39108;time_start=2017-07-19 06:43:35;lon_start=24.0363533;lat_start=49.8404016;time_end=2017-07-19 06:44:35;lon_end=24.0351666;lat_end=49.8419533
route_id=1723724;vehicle_id=39116;time_start=2017-07-19 06:43:35;lon_start=24.027085;lat_start=49.82017;time_end=2017-07-19 06:44:35;lon_end=24.0311633;lat_end=49.8219416
route_id=1723724;vehicle_id=39118;time_start=2017-07-19 06:43:35;lon_start=24.0579733;lat_start=49.7943316;time_end=2017-07-19 06:44:35;lon_end=24.0543266;lat_end=49.79615
route_id=1527114;vehicle_id=37677;time_start=2017-07-19 06:43:38;lon_start=23.9464548;lat_start=49.8946003;time_end=2017-07-19 06:44:38;lon_end=23.948493;lat_end=49.8924843
route_id=712988;vehicle_id=38789;time_start=2017-07-19 06:44:14;lon_start=24.0516185760498;lat_start=49.8078536987305;time_end=2017-07-19 06:45:14;lon_end=24.0552806854248;lat_end=49.8074264526367
route_id=712988;vehicle_id=47976;time_start=2017-07-19 06:44:14;lon_start=23.9675273895264;lat_start=49.823802947998;time_end=2017-07-19 06:45:14;lon_end=23.9748420715332;lat_end=49.8146476745605
route_id=712988;vehicle_id=53981;time_start=2017-07-19 06:44:14;lon_start=24.0205688476563;lat_start=49.814640045166;time_end=2017-07-19 06:45:14;lon_end=24.0267124176025;lat_end=49.8166618347168
route_id=712991;vehicle_id=64364;time_start=2017-07-19 06:44:18;lon_start=23.9838549;lat_start=49.8124166;time_end=2017-07-19 06:45:18;lon_end=23.9808833;lat_end=49.812375
route_id=712991;vehicle_id=64505;time_start=2017-07-19 06:44:18;lon_start=23.9948916;lat_start=49.8396883;time_end=2017-07-19 06:45:18;lon_end=23.9943566;lat_end=49.83909
route_id=712991;vehicle_id=64507;time_start=2017-07-19 06:44:18;lon_start=23.976565;lat_start=49.8238616;time_end=2017-07-19 06:45:18;lon_end=23.9763916;lat_end=49.8237383
route_id=713002;vehicle_id=37167;time_start=2017-07-19 06:44:21;lon_start=24.0189716;lat_start=49.80617;time_end=2017-07-19 06:45:21;lon_end=24.0181866;lat_end=49.8026366
route_id=713002;vehicle_id=38023;time_start=2017-07-19 06:44:21;lon_start=24.0461266;lat_start=49.811865;time_end=2017-07-19 06:45:21;lon_end=24.0460233;lat_end=49.8107016
route_id=712988;vehicle_id=38704;time_start=2017-07-19 06:55:14;lon_start=23.9788570404053;lat_start=49.8417015075684;time_end=2017-07-19 06:56:14;lon_end=23.9770278930664;lat_end=49.8384780883789
route_id=712988;vehicle_id=38789;time_start=2017-07-19 06:55:14;lon_start=24.0590057373047;lat_start=49.789249420166;time_end=2017-07-19 06:56:14;lon_end=24.0587959289551;lat_end=49.7855606079102
route_id=712988;vehicle_id=47976;time_start=2017-07-19 06:55:14;lon_start=24.0146827697754;lat_start=49.8084411621094;time_end=2017-07-19 06:56:14;lon_end=24.0193691253662;lat_end=49.8084564208984
route_id=712988;vehicle_id=53981;time_start=2017-07-19 06:55:14;lon_start=24.0711669921875;lat_start=49.7981300354004;time_end=2017-07-19 06:56:14;lon_end=24.0719566345215;lat_end=49.796028137207
route_id=712991;vehicle_id=64364;time_start=2017-07-19 06:55:18;lon_start=23.9904066;lat_start=49.8346016;time_end=2017-07-19 06:56:18;lon_end=23.9904066;lat_end=49.8346016
route_id=712991;vehicle_id=64368;time_start=2017-07-19 06:55:18;lon_start=24.0412133;lat_start=49.8135633;time_end=2017-07-19 06:56:18;lon_end=24.035895;lat_end=49.8138566
route_id=712991;vehicle_id=64494;time_start=2017-07-19 06:55:18;lon_start=23.9832333;lat_start=49.8272333;time_end=2017-07-19 06:56:18;lon_end=23.977525;lat_end=49.8242316
route_id=712991;vehicle_id=64505;time_start=2017-07-19 06:55:18;lon_start=23.99962;lat_start=49.8377783;time_end=2017-07-19 06:56:18;lon_end=24.0004283;lat_end=49.8365733
route_id=712991;vehicle_id=64507;time_start=2017-07-19 06:55:18;lon_start=23.9860983;lat_start=49.811815;time_end=2017-07-19 06:56:18;lon_end=23.99178;lat_end=49.8111483
route_id=712988;vehicle_id=38682;time_start=2017-07-19 07:50:56;lon_start=23.9753551483154;lat_start=49.8143501281738;time_end=2017-07-19 07:51:55;lon_end=23.9795341491699;lat_end=49.8126182556152
route_id=712988;vehicle_id=38687;time_start=2017-07-19 07:50:56;lon_start=24.0199451446533;lat_start=49.8145751953125;time_end=2017-07-19 07:51:55;lon_end=24.0254707336426;lat_end=49.8145179748535
route_id=712988;vehicle_id=38789;time_start=2017-07-19 07:50:56;lon_start=23.9767055511475;lat_start=49.8137016296387;time_end=2017-07-19 07:51:55;lon_end=23.9767055511475;lat_end=49.8137016296387
route_id=712988;vehicle_id=47976;time_start=2017-07-19 07:50:56;lon_start=24.0220355987549;lat_start=49.8145751953125;time_end=2017-07-19 07:51:55;lon_end=24.0195045471191;lat_end=49.8125648498535
route_id=712988;vehicle_id=53981;time_start=2017-07-19 07:50:56;lon_start=23.996732711792;lat_start=49.8107566833496;time_end=2017-07-19 07:51:55;lon_end=23.9906463623047;lat_end=49.8113632202148
route_id=712988;vehicle_id=55690;time_start=2017-07-19 07:50:56;lon_start=23.9665336608887;lat_start=49.8449630737305;time_end=2017-07-19 07:51:55;lon_end=23.9669303894043;lat_end=49.8435516357422
route_id=712991;vehicle_id=64358;time_start=2017-07-19 07:51:00;lon_start=23.9698133;lat_start=49.8209066;time_end=2017-07-19 07:51:59;lon_end=23.9738266;lat_end=49.82241
route_id=712991;vehicle_id=64360;time_start=2017-07-19 07:51:00;lon_start=23.9947316;lat_start=49.8394533;time_end=2017-07-19 07:51:59;lon_end=23.9944533;lat_end=49.8390683
route_id=712991;vehicle_id=64361;time_start=2017-07-19 07:51:00;lon_start=23.9852716;lat_start=49.8336333;time_end=2017-07-19 07:51:59;lon_end=23.9903383;lat_end=49.83449
route_id=712991;vehicle_id=64364;time_start=2017-07-19 07:51:00;lon_start=24.0464833;lat_start=49.8093383;time_end=2017-07-19 07:51:59;lon_end=24.0468833;lat_end=49.80016
route_id=712991;vehicle_id=64368;time_start=2017-07-19 07:51:00;lon_start=23.9865433;lat_start=49.829955;time_end=2017-07-19 07:51:59;lon_end=23.98323;lat_end=49.8273466
route_id=712991;vehicle_id=64494;time_start=2017-07-19 07:51:00;lon_start=24.0372433;lat_start=49.8136983;time_end=2017-07-19 07:51:59;lon_end=24.0353616;lat_end=49.8141016
route_id=712991;vehicle_id=64502;time_start=2017-07-19 07:51:00;lon_start=24.0007116;lat_start=49.8365566;time_end=2017-07-19 07:51:59;lon_end=23.9990516;lat_end=49.83628
route_id=712991;vehicle_id=64505;time_start=2017-07-19 07:51:00;lon_start=24.0577633;lat_start=49.7945083;time_end=2017-07-19 07:51:59;lon_end=24.0568883;lat_end=49.7949816
route_id=712991;vehicle_id=64506;time_start=2017-07-19 07:51:00;lon_start=24.0093883;lat_start=49.8095116;time_end=2017-07-19 07:51:59;lon_end=24.0142333;lat_end=49.8084916
route_id=712991;vehicle_id=64507;time_start=2017-07-19 07:51:00;lon_start=24.0034483;lat_start=49.8101966;time_end=2017-07-19 07:51:59;lon_end=24.0003883;lat_end=49.8105199
route_id=713002;vehicle_id=37158;time_start=2017-07-19 07:51:12;lon_start=23.9670716;lat_start=49.8225966;time_end=2017-07-19 07:52:03;lon_end=23.9640766;lat_end=49.8228366
route_id=713002;vehicle_id=37159;time_start=2017-07-19 07:51:12;lon_start=23.955265;lat_start=49.8253166;time_end=2017-07-19 07:52:03;lon_end=23.95609;lat_end=49.8235866
route_id=713002;vehicle_id=37160;time_start=2017-07-19 07:51:12;lon_start=24.043335;lat_start=49.8136083;time_end=2017-07-19 07:52:03;lon_end=24.0396783;lat_end=49.8135566
route_id=713002;vehicle_id=37161;time_start=2017-07-19 07:51:12;lon_start=24.00166;lat_start=49.8036783;time_end=2017-07-19 07:52:03;lon_end=23.9962333;lat_end=49.8042316
route_id=713002;vehicle_id=37162;time_start=2017-07-19 07:51:12;lon_start=24.071155;lat_start=49.8277433;time_end=2017-07-19 07:52:03;lon_end=24.0730383;lat_end=49.8260266
route_id=713002;vehicle_id=37166;time_start=2017-07-19 07:51:12;lon_start=24.0770866;lat_start=49.8170883;time_end=2017-07-19 07:52:03;lon_end=24.075415;lat_end=49.82166
route_id=713002;vehicle_id=38023;time_start=2017-07-19 07:51:12;lon_start=23.9874816;lat_start=49.804805;time_end=2017-07-19 07:52:03;lon_end=23.9924433;lat_end=49.8042866
route_id=949921;vehicle_id=38720;time_start=2017-07-19 07:51:22;lon_start=23.9497852325439;lat_start=49.868766784668;time_end=2017-07-19 07:52:19;lon_end=23.9513092041016;lat_end=49.8682861328125
route_id=949921;vehicle_id=38726;time_start=2017-07-19 07:51:22;lon_start=24.0407981872559;lat_start=49.8120307922363;time_end=2017-07-19 07:52:19;lon_end=24.0407981872559;lat_end=49.8120307922363
route_id=949921;vehicle_id=38727;time_start=2017-07-19 07:51:22;lon_start=24.03493309021;lat_start=49.8322715759277;time_end=2017-07-19 07:52:19;lon_end=24.035285949707;lat_end=49.8332061767578
route_id=1723724;vehicle_id=38752;time_start=2017-07-19 07:51:27;lon_start=24.04625;lat_start=49.8101183;time_end=2017-07-19 07:52:24;lon_end=24.0483699;lat_end=49.7988633
route_id=1723724;vehicle_id=38936;time_start=2017-07-19 07:51:27;lon_start=24.0425983;lat_start=49.8134733;time_end=2017-07-19 07:52:24;lon_end=24.0355;lat_end=49.8139433
route_id=1723724;vehicle_id=38968;time_start=2017-07-19 07:51:27;lon_start=24.0499266;lat_start=49.7983583;time_end=2017-07-19 07:52:24;lon_end=24.04885;lat_end=49.7988966
route_id=1723724;vehicle_id=38970;time_start=2017-07-19 07:51:27;lon_start=24.0337783;lat_start=49.8282633;time_end=2017-07-19 07:52:24;lon_end=24.0326066;lat_end=49.829555
route_id=1723724;vehicle_id=39108;time_start=2017-07-19 07:51:27;lon_start=24.032635;lat_start=49.8295083;time_end=2017-07-19 07:52:24;lon_end=24.0338566;lat_end=49.8271533
route_id=1723724;vehicle_id=39109;time_start=2017-07-19 07:51:27;lon_start=24.0438383;lat_start=49.8650733;time_end=2017-07-19 07:52:24;lon_end=24.0516433;lat_end=49.8649283
route_id=1723724;vehicle_id=39111;time_start=2017-07-19 07:51:27;lon_start=24.0357266;lat_start=49.8389633;time_end=2017-07-19 07:52:24;lon_end=24.0358133;lat_end=49.8420216
route_id=1723724;vehicle_id=39114;time_start=2017-07-19 07:51:27;lon_start=24.02386;lat_start=49.8523183;time_end=2017-07-19 07:52:24;lon_end=24.0225266;lat_end=49.8571516
route_id=1723724;vehicle_id=39116;time_start=2017-07-19 07:51:27;lon_start=24.0240233;lat_start=49.8515066;time_end=2017-07-19 07:52:24;lon_end=24.0246116;lat_end=49.8497816
route_id=1723724;vehicle_id=39118;time_start=2017-07-19 07:51:27;lon_start=24.0539033;lat_start=49.8659933;time_end=2017-07-19 07:52:24;lon_end=24.051205;lat_end=49.8650616
route_id=1527114;vehicle_id=37611;time_start=2017-07-19 07:51:30;lon_start=23.935485;lat_start=49.9063533;time_end=2017-07-19 07:52:27;lon_end=23.9404383;lat_end=49.9032966
